job_title,company,job_location,job_description,job_link,job_skills,search_country,job_level,job_type
Data Analyst,Angelo State University,"San Angelo, Tom Green County","*Job Title:*Data Analyst *Position Number:*977310 *Department:*Office of Accountability *Salary:*$65,000 - $76,000 *Remote:*No *Job Summary/Description:*The Data Analyst supports institutional data governance, stewardship, and analytics initiatives by collecting, analyzing, and interpreting data to inform decision-making and improve operational efficiency. This role collaborates with cross-functional teams to ensure data quality, consistency and accessibility across systems and platforms. *Typi…",https://www.adzuna.com/land/ad/5657678955?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=C57675506863E42BBA7CA7E418F5D1725E956DD2,,United States,,
Senior Data Analyst,Jobot,"Livingston, Essex County","Senior Data Analyst Needed - $165K-$245K - Growing AI Firm - Great Benefits! This Jobot Job is hosted by: Steven Zacharias Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $165,000 - $245,000 per year A bit about us: We are a growing AI powered technology firm that's looking for a seasoned Data Analyst! If interested, please apply or email me your resume directly at - https://apply.jobot.com/jobs/senior-data-analyst/1549045772/?utm_source=Care…",https://www.adzuna.com/land/ad/5643220470?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=DF5BD054776929074A9407C8C7F6848A451DB35B,,United States,,
Senior Data Analyst,Axelon Services Corporation,"Johnston, Providence County","Job Title: Senior Data Analyst Location: Johnston, RI Support data-driven decision-making processes, provide strategic insights, and mentor junior analysts. Use best practices and knowledge of internal or external business issues to improve products or services. Develop and articulate strategic recommendations based on rigorous data analysis. Primarily work independently with collaboration across other functional teams to access data elements, understand the data being analyzed, and identify pr…",https://www.adzuna.com/land/ad/5643242297?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=3478F7E5FEA2E8CE8E6E8B79FAF7F14B71E1E810,,United States,,
Senior Data Analyst,Accentuate Staffing,"Raleigh, Wake County","Accentuate Staffing is working with a healthcare services company that is hiring a Senior Data Analyst to support clinical, operational, and financial decision-making across the business. This is a highly visible role that works directly with senior leaders and operational stakeholders and plays a key part in how performance, productivity, and growth are evaluated across the organization. The ideal candidate is someone who has experience building dashboards, analyzing operational and financial …",https://www.adzuna.com/land/ad/5643238188?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=059767EFFF051686FD7F0978A5B66089C435AF9E,,United States,,
Senior Data Analyst,DivIHN Integration Inc,"Springfield, Sangamon County","DivIHN (pronounced “divine”) is a CMMI ML3-certified Technology and Talent solutions firm. Driven by a unique Purpose, Culture, and Value Delivery Model, we enable meaningful connections between talented professionals and forward-thinking organizations. Since our formation in 2002, organizations across commercial and public sectors have been trusting us to help build their teams with exceptional temporary and permanent talent. Visit us at https://divihn.com/find-a-job/ to learn more and view ou…",https://www.adzuna.com/land/ad/5647319146?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=17AA269C1D63A02361D5EB9EFD69142D4F8C33E3,,United States,,
Senior Data Analyst,Jobot,"Irvine, Orange County","A HealthTech company seeks Pricing Analyst This Jobot Job is hosted by: Danielle Liguori Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $90,000 - $105,000 per year A bit about us: We are seeking an experienced Price Analyst II with 5 years of experience in pricing analysis, market research, and strategic pricing initiatives. This role focuses on developing pricing strategies, conducting advanced market analysis, and supporting revenue optimi…",https://www.adzuna.com/land/ad/5643233300?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=322E56D69B456E15E2F3BF5E35A624073630BFC6,,United States,,
Healthcare Data Analyst,Blanchard Valley Hospital,"Findlay, Hancock County","*This position is fully remote! However, a hyrbid schedule may be required during the training process. Must live in Ohio, North Carolina, South Carolina or Georgia PURPOSE OF THIS POSITION The Data Analyst works with the Directors/Managers throughout BVHS to research and analyze relevant clinical, utilization, cost, and program outcome data to identify opportunities to improve with the goal of controlling cost and utilization while maximizing health care outcomes. The associate will also creat…",https://www.adzuna.com/land/ad/5643233990?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=19106ACD3C1BEEC48B14FA281D8A1FF76E28F212,,United States,,
Data Analyst/Tester,Bering Straits Native Corporation,"Beaver Creek, Greene County","About Arcticom, LLC Offering a broad range of information technology solutions, Arcticom, LLC provides network and systems administration, enterprise architecture and resource planning, certification and accreditation, software design, programming, maintenance of telecommunications and land mobile radio equipment and systems, help desk support and IT transformation services among other services. Arcticom offers impressive performance that is routinely recognized with exceptional ratings and com…",https://www.adzuna.com/land/ad/5644642267?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=EED47DF86A6ADDEFE6AF8E63F093DFF76A4AE157,,United States,,
Financial Data Analyst,Jobot,"Houston, Harris County","Competitive salary and excellent benefits! This Jobot Job is hosted by: Heather Burnach Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $80,000 - $120,000 per year A bit about us: Based in Houston, TX, we are a well-known and reputable oil and gas company hiring for a Financial Analyst to join our growing team. This is an exciting opportunity to work in the fast-paced, high-energy world of the energy industry. This role involves leading both …",https://www.adzuna.com/land/ad/5643235673?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=C8B63B8175A9114B566B85635E57CBD9DCB5ECDA,,United States,,
Mechanical Data Analyst,NES Fircroft,"Beaumont, Riverside County","Job Title: Mechanical Data Analyst Duration: 1 year Rate: 49/hour Location: Beaumont Texas Role Purpose Pull, organize, and format maintenance and reliability data from SAP and other systems into actionable reports and dashboards for managers to make informed decisions. Provide administrative office support to ensure smooth operations and compliance with site standards. Deliver accurate, actionable analytics to improve mechanical maintenance effectiveness across Beaumont Complexâfocused on re…",https://www.adzuna.com/land/ad/5656460581?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=8A3F24095468A295EA2309061ED1C77AE8819FA0,,United States,,
